label,ax,ay,az,gx,gy,gz
still,3204,-4376,15304,605,-409,-350
still,2716,-4664,15436,122,-127,345
still,2852,-4944,15500,-165,-317,134
still,3112,-5360,15428,-229,-249,66
still,3392,-5196,15352,110,-37,232
still,2932,-4540,15304,332,-78,-281
still,3400,-4816,15172,347,-214,-188
still,3040,-5024,15236,473,146,383
still,2732,-5156,15584,178,184,373
still,2744,-4904,15692,143,99,-49
still,3184,-4536,15480,576,101,560
still,3268,-4564,15232,561,-304,309
still,2756,-5100,15292,143,-39,143
still,3144,-5544,15376,77,-214,15
still,2912,-5472,15516,346,-57,102
still,2596,-5104,15600,632,76,402
still,3260,-5008,15280,569,-83,153
still,2784,-4748,15492,470,70,-12
still,2820,-5128,15308,325,1,369
still,2976,-5380,15404,379,-104,331
still,3248,-5188,15260,593,-14,346
still,2968,-5076,15432,358,113,80
still,2736,-5360,15616,134,-74,-238
still,2888,-4920,15364,572,-73,171
still,3220,-4836,15032,735,50,423
still,2756,-4876,15212,691,386,377
still,2804,-4984,15436,377,165,-107
still,2756,-5644,15704,173,-123,52
still,3068,-5368,15432,897,-168,-112
still,3128,-5232,15400,1051,-7,-442
still,2164,-4716,15472,1210,191,-451
still,2664,-4892,15500,1008,-124,-446
still,2848,-4784,15332,798,-307,-397
still,2760,-4932,15540,590,-275,-237
still,2744,-4580,15376,796,-66,-109
still,3144,-4848,15204,503,-194,-188
still,2912,-5004,15340,328,-83,-86
still,3024,-5076,15456,415,-64,55
still,3084,-5192,15424,406,-19,142
still,2492,-4708,15532,493,-68,-328
still,2436,-4672,15492,355,-357,-257
still,2940,-4836,15372,316,-529,99
still,2948,-5100,15444,169,-416,78
still,3040,-5448,15488,131,-210,-136
still,3040,-5240,15460,427,-92,-315
still,2856,-4796,15288,562,-243,-393
still,2724,-4916,15560,532,-186,49
still,2996,-5064,15568,527,-142,101
still,2920,-5140,15520,565,-166,-86
still,2944,-5100,15412,806,2,-41
still,2820,-4600,15380,776,-95,93
still,2976,-4704,15264,545,-278,74
still,3220,-4924,15208,380,-251,74
still,2956,-5284,15488,398,-56,102
still,2880,-5148,15600,578,-68,80
still,2764,-4984,15532,1004,-79,512
still,2988,-4768,15420,1022,-82,384
still,2964,-4732,15360,769,-169,200
still,2820,-5076,15472,663,-210,306
still,3008,-4816,15512,912,-4,619
still,2988,-4760,15332,872,140,540
still,2492,-4848,15560,851,497,537
still,2616,-5232,15536,1054,414,900
still,2792,-4872,15600,1463,570,1244
still,2988,-4636,15440,1509,641,1327
still,2672,-4668,15436,1338,851,1578
still,2500,-4912,15756,990,270,607
still,2692,-4976,15544,1305,233,822
still,2316,-4824,15744,1515,374,662
still,2388,-4480,15692,1470,253,522
still,2792,-4416,15364,1336,177,397
still,2240,-4180,15504,1328,466,570
still,2744,-5468,15928,1237,137,514
still,2264,-5452,16088,2113,641,693
still,1940,-4228,15836,2640,608,462
still,2584,-3972,15560,2363,72,85
still,2300,-3840,15480,2194,209,219
still,2304,-4232,15876,2691,535,583
still,1948,-3276,15892,2851,546,452
still,1936,-3256,15904,2076,200,-109
still,2368,-3844,15864,1475,-175,-352
still,2204,-4100,16096,1649,34,-26
still,2260,-3604,15936,2737,534,710
still,2168,-2816,15760,2268,545,332
still,1908,-3036,15720,1341,371,-23
still,1900,-3580,16080,1024,174,-222
still,2340,-3760,16064,1342,242,53
still,1864,-3312,16072,1783,525,390
still,2140,-3252,15816,747,40,30
still,2064,-3516,15908,604,25,223
still,2040,-3340,16060,937,297,361
still,1712,-3192,15992,1080,368,366
still,1624,-2972,15900,860,190,-7
still,1936,-3444,16064,637,109,189
still,1768,-3628,16356,872,374,259
still,2288,-3244,16000,1200,259,108
still,1616,-2288,15864,1143,330,-38
still,1784,-3032,16036,472,111,195
still,1824,-3480,16224,477,188,544
still,1876,-3428,16112,717,274,227
still,1600,-2816,15956,786,229,80
still,1636,-2928,15972,757,81,232
still,1868,-3360,16124,632,-37,277
still,1720,-3192,16124,670,19,234
still,1796,-3444,16228,774,288,146
still,1632,-3128,16108,1115,498,471
still,1580,-2996,16020,1272,471,587
still,1592,-2864,15964,1317,521,630
still,1212,-2732,16212,1398,873,897
still,1508,-2568,16216,1170,589,699
still,1556,-3144,16192,514,-258,-100
still,1608,-3108,16032,666,-208,-42
still,1584,-3028,16196,642,-211,-280
still,1848,-3052,16052,603,-213,-339
still,1388,-2860,16304,646,-138,-326
still,1600,-2856,16004,748,-187,-32
still,1608,-2824,16024,733,-7,60
still,1428,-2712,15980,694,207,137
still,1460,-2784,16328,491,49,41
still,1680,-2968,16216,414,-254,-28
still,1436,-2964,16092,564,-65,126
still,1224,-2816,16096,694,128,141
still,1696,-2692,16012,602,-81,-10
still,1440,-3032,16188,478,238,343
still,1564,-3156,16300,583,346,312
still,872,-2856,16384,788,434,205
still,1448,-2720,16024,783,25,269
still,1360,-2904,16028,737,80,259
still,1304,-2916,16212,702,44,170
